Ngay,Index,Return
23/08/2012,61.23,-0.05435084
24/08/2012,63.11,0.03024197
27/08/2012,60.31,-0.045381308
28/08/2012,59.73,-0.009663521
29/08/2012,61.88,0.035362619
30/08/2012,61.92,0.000646204
31/08/2012,61.43,-0.007944914
4/09/2012,61.65,0.003574914
5/09/2012,60.92,-0.011911702
6/09/2012,60.32,-0.009897804
7/09/2012,60.39,0.001159805
10/09/2012,58.07,-0.039174349
11/09/2012,57.52,-0.009516466
12/09/2012,57.42,-0.001740039
13/09/2012,58.11,0.011945091
14/09/2012,59.23,0.019090404
17/09/2012,58.7,-0.008988443
18/09/2012,56.48,-0.038553134
19/09/2012,56.07,-0.007285683
20/09/2012,55.42,-0.011660371
21/09/2012,56.71,0.023010023
24/09/2012,56.46,-0.004418139
25/09/2012,56.22,-0.004259857
26/09/2012,56.29,0.001244334
27/09/2012,55.9,-0.006952519
28/09/2012,55.47,-0.007722046
1/10/2012,54.27,-0.021870746
2/10/2012,53.94,-0.00609927
3/10/2012,54.19,0.004624072
4/10/2012,54.17,-0.00036914
5/10/2012,54.34,0.003133354
8/10/2012,55.21,0.015883492
9/10/2012,55.43,0.003976867
10/10/2012,55.51,0.001442221
11/10/2012,55.84,0.005927274
12/10/2012,55.44,-0.007189104
15/10/2012,54.94,-0.009059674
16/10/2012,56.28,0.024097552
17/10/2012,55.93,-0.006238323
18/10/2012,55.82,-0.001968681
19/10/2012,54.74,-0.019537524
22/10/2012,54.35,-0.00715009
23/10/2012,54.56,0.0038564
24/10/2012,54.25,-0.005698021
25/10/2012,53.88,-0.006843641
26/10/2012,53.79,-0.001671775
29/10/2012,53.64,-0.002792518
30/10/2012,53.13,-0.009553318
31/10/2012,53.02,-0.00207254
1/11/2012,52.66,-0.006813047
2/11/2012,51.06,-0.030854742
5/11/2012,50.75,-0.006089794
6/11/2012,50.66,-0.001774973
7/11/2012,51.58,0.017997356
8/11/2012,51.08,-0.009740969
9/11/2012,51.58,0.009740969
12/11/2012,52.52,0.018060049
13/11/2012,52.39,-0.002478316
14/11/2012,52.3,-0.001719362
15/11/2012,51.69,-0.011732032
16/11/2012,51.81,0.002318842
19/11/2012,51.45,-0.006972719
20/11/2012,51.9,0.008708328
21/11/2012,51.41,-0.009486084
22/11/2012,51.58,0.003301294
23/11/2012,51.23,-0.006808703
26/11/2012,50.96,-0.005284287
27/11/2012,50.96,0
28/11/2012,51,0.000784621
29/11/2012,51.1,0.001958864
30/11/2012,51.05,-0.000978953
3/12/2012,51.04,-0.000195906
4/12/2012,51.49,0.008777975
5/12/2012,52.1,0.011777335
6/12/2012,51.78,-0.006160974
7/12/2012,51.66,-0.002320187
10/12/2012,52.71,0.020121403
11/12/2012,52.72,0.000189699
12/12/2012,53.86,0.021393197
13/12/2012,54.08,0.004076344
14/12/2012,54.44,0.006634746
17/12/2012,54.47,0.000550914
18/12/2012,53.96,-0.00940706
19/12/2012,54.93,0.017816616
20/12/2012,54.32,-0.011167164
21/12/2012,54.05,-0.004982939
24/12/2012,55,0.017423641
25/12/2012,55.04,0.000727008
26/12/2012,55.92,0.015861904
27/12/2012,56.15,0.004104583
28/12/2012,57.09,0.016602289
2/01/2013,59.11,0.034771145
3/01/2013,58.09,-0.017406583
4/01/2013,59.21,0.019096915
7/01/2013,59,-0.003553003
8/01/2013,59.95,0.015973438
9/01/2013,59.61,-0.005687536
10/01/2013,60.53,0.015315765
11/01/2013,60.55,0.00033036
14/01/2013,60.62,0.001155402
15/01/2013,62.19,0.025569343
16/01/2013,62.71,0.008326709
17/01/2013,62.33,-0.006078074
18/01/2013,62.05,-0.004502339
21/01/2013,61.16,-0.014447131
22/01/2013,59.49,-0.02768515
23/01/2013,59.57,0.00134386
24/01/2013,61.17,0.026504782
25/01/2013,61.61,0.007167322
28/01/2013,62.52,0.014662311
29/01/2013,62.99,0.007489478
30/01/2013,63.35,0.005698923
31/01/2013,62.62,-0.011590191
1/02/2013,62.99,0.005891268
4/02/2013,62.93,-0.000952986
5/02/2013,62.77,-0.002545745
6/02/2013,64.13,0.021435021
7/02/2013,65.02,0.013782642
8/02/2013,66.21,0.018136594
18/02/2013,66.74,0.007972964
19/02/2013,66.25,-0.007369008
20/02/2013,67,0.011257155
21/02/2013,63.45,-0.054440425
22/02/2013,64.12,0.010504134
25/02/2013,64.19,0.001091108
26/02/2013,62.01,-0.034551773
27/02/2013,62.61,0.009629347
28/02/2013,62.56,-0.000798914
1/03/2013,62.78,0.003510455
4/03/2013,60.69,-0.033857612
5/03/2013,59.3,-0.023169634
6/03/2013,60.82,0.025309376
7/03/2013,60.15,-0.01107724
8/03/2013,61,0.014032422
11/03/2013,62.05,0.017066647
12/03/2013,62.22,0.00273598
13/03/2013,61.43,-0.012778176
14/03/2013,61.81,0.006166848
15/03/2013,62.06,0.004036495
18/03/2013,61.26,-0.012974558
19/03/2013,61.09,-0.002778915
20/03/2013,61.54,0.007339183
21/03/2013,61.49,-0.00081281
22/03/2013,60.93,-0.009148896
25/03/2013,61.12,0.003113481
26/03/2013,60.85,-0.004427325
27/03/2013,60.62,-0.003786948
28/03/2013,60.31,-0.005126944
29/03/2013,60.25,-0.000995355
1/04/2013,61.51,0.020697191
2/04/2013,61.09,-0.006851577
3/04/2013,61.38,0.004735863
4/04/2013,60.53,-0.013944939
5/04/2013,61,0.007734754
8/04/2013,61.36,0.005884293
9/04/2013,61.37,0.000162959
10/04/2013,60.33,-0.017091624
11/04/2013,61.08,0.012354988
12/04/2013,60.32,-0.012520757
15/04/2013,58.87,-0.024332101
16/04/2013,59.19,0.005420986
17/04/2013,58.95,-0.004062982
18/04/2013,58.36,-0.010058903
22/04/2013,57.61,-0.01293456
23/04/2013,58.22,0.010532775
24/04/2013,58.27,0.000858443
25/04/2013,58.69,0.007181973
26/04/2013,58.36,-0.005638631
2/05/2013,58.3,-0.00102863
3/05/2013,59.06,0.012951783
6/05/2013,60.74,0.028048583
7/05/2013,60.54,-0.003298156
8/05/2013,60.08,-0.007627296
9/05/2013,60.64,0.009277734
10/05/2013,60.48,-0.002642009
13/05/2013,60.66,0.00297177
14/05/2013,59.89,-0.012774956
15/05/2013,60.5,0.010133819
16/05/2013,60.94,0.007246409
17/05/2013,60.45,-0.008073196
20/05/2013,61.04,0.00971281
21/05/2013,61.63,0.009619378
22/05/2013,62.59,0.015456756
23/05/2013,62.08,-0.008181645
24/05/2013,62.06,-0.000322217
27/05/2013,63.53,0.023410576
28/05/2013,64.07,0.008464
29/05/2013,64.46,0.006068641
30/05/2013,65.14,0.010493923
31/05/2013,64.62,-0.008014839
3/06/2013,64.89,0.004169568
4/06/2013,63.79,-0.01709709
5/06/2013,64.54,0.011688748
6/06/2013,65.33,0.012166162
7/06/2013,65.58,0.003819423
10/06/2013,65.6,0.000304925
11/06/2013,65.49,-0.001678237
12/06/2013,65.32,-0.002599191
13/06/2013,65.64,0.004886998
14/06/2013,65.63,-0.000152358
17/06/2013,64.82,-0.012418711
18/06/2013,64.99,0.002619214
19/06/2013,65.02,0.000461503
20/06/2013,64.53,-0.007564683
21/06/2013,64.08,-0.006997929
24/06/2013,63.55,-0.008305305
25/06/2013,62,-0.024692613
26/06/2013,62.24,0.003863495
27/06/2013,62.85,0.009753055
28/06/2013,62.76,-0.001433007
1/07/2013,62.49,-0.004311384
2/07/2013,63.2,0.011297757
3/07/2013,63.07,-0.00205908
4/07/2013,63.07,0
5/07/2013,62.69,-0.006043275
8/07/2013,62.34,-0.005598671
9/07/2013,62.58,0.003842464
10/07/2013,62.43,-0.002399809
11/07/2013,62.34,-0.001442655
12/07/2013,63.12,0.012434402
15/07/2013,63.03,-0.001426873
16/07/2013,63,-0.000476077
17/07/2013,63.25,0.003960401
18/07/2013,62.97,-0.004436705
19/07/2013,63.16,0.003012767
22/07/2013,62.8,-0.005716116
23/07/2013,62.99,0.00302091
24/07/2013,62.19,-0.012781769
25/07/2013,61.52,-0.01083189
26/07/2013,61.33,-0.003093206
29/07/2013,60.77,-0.009172873
30/07/2013,61.59,0.013403274
31/07/2013,61.49,-0.00162496
1/08/2013,61.62,0.002111933
2/08/2013,62.2,0.009368507
5/08/2013,61.89,-0.004996384
6/08/2013,62.33,0.007084235
7/08/2013,62.17,-0.002570283
8/08/2013,61.81,-0.005807405
9/08/2013,61.7,-0.001781233
12/08/2013,61.44,-0.004222842
13/08/2013,61.22,-0.003587155
14/08/2013,61.91,0.011207784
15/08/2013,62.33,0.006761133
16/08/2013,62.25,-0.001284315
19/08/2013,62.93,0.010864462
20/08/2013,62.65,-0.004459316
21/08/2013,62.38,-0.00431897
22/08/2013,61.85,-0.008532612
23/08/2013,61.42,-0.006976584
26/08/2013,61.79,0.006006024
27/08/2013,61.41,-0.006168851
28/08/2013,60.68,-0.011958534
29/08/2013,60.36,-0.005287521
30/08/2013,61.19,0.013657144
3/09/2013,60.65,-0.008864142
4/09/2013,60.2,-0.007447283
5/09/2013,60.62,0.006952519
6/09/2013,60.45,-0.002808295
9/09/2013,59.67,-0.012987196
10/09/2013,60.04,0.006181625
11/09/2013,60.19,0.002495219
12/09/2013,60.02,-0.002828386
13/09/2013,60.18,0.002662231
16/09/2013,60.03,-0.002495634
17/09/2013,59.53,-0.00836405
18/09/2013,58.73,-0.013529718
19/09/2013,58.99,0.004417268
20/09/2013,59.17,0.003046719
23/09/2013,59.63,0.007744146
24/09/2013,59.81,0.003014068
25/09/2013,60.26,0.007495663
26/09/2013,60.32,0.00099519
27/09/2013,60.4,0.001325381
30/09/2013,60.95,0.009064751
1/10/2013,60.93,-0.000328192
2/10/2013,61.05,0.001967536
3/10/2013,61,-0.000819336
4/10/2013,60.94,-0.000984091
7/10/2013,61.39,0.007357182
8/10/2013,61.23,-0.00260969
9/10/2013,61.16,-0.001143884
10/10/2013,60.73,-0.007055571
11/10/2013,60.63,-0.00164799
14/10/2013,60.5,-0.002146455
15/10/2013,60.76,0.004288313
16/10/2013,61.12,0.005907467
17/10/2013,61.36,0.003919012
18/10/2013,61.52,0.002604168
21/10/2013,61.93,0.00664239
22/10/2013,61.66,-0.004369292
23/10/2013,62.13,0.007593542
24/10/2013,61.89,-0.003870348
25/10/2013,61.82,-0.001131679
28/10/2013,61.41,-0.006654248
29/10/2013,61.5,0.001464486
30/10/2013,61.58,0.001299968
31/10/2013,61.64,0.000973868
1/11/2013,62.08,0.007112865
4/11/2013,62.43,0.005622053
5/11/2013,62.91,0.007659205
6/11/2013,63.28,0.00586419
7/11/2013,63.15,-0.002056475
8/11/2013,63.29,0.00221449
11/11/2013,64.06,0.012092805
12/11/2013,63.85,-0.003283562
13/11/2013,63.65,-0.003137257
14/11/2013,63.7,0.000785238
15/11/2013,63.93,0.003604172
18/11/2013,64.39,0.007169607
19/11/2013,64.36,-0.000466019
20/11/2013,64.62,0.004031638
21/11/2013,64.38,-0.003720935
22/11/2013,64.51,0.002017225
25/11/2013,64.83,0.004948209
26/11/2013,64.9,0.001079165
27/11/2013,65.19,0.004458459
